Open_Time,Open,High,Low,Close,Volume
2019-12-20 10:00:00,42330.0,42330.0,42066.0,42124.0,0.12805
2019-12-20 11:00:00,42331.0,42424.0,42096.0,42096.0,0.185463
2019-12-20 12:00:00,42511.0,42622.0,42288.0,42622.0,0.069555
2019-12-20 13:00:00,42526.0,42576.0,42395.0,42576.0,0.02089
2019-12-20 14:00:00,42576.0,42576.0,42576.0,42576.0,0.0
2019-12-20 15:00:00,42576.0,42576.0,42576.0,42576.0,0.0
2019-12-20 16:00:00,42370.0,42497.0,42370.0,42497.0,0.009247
2019-12-20 17:00:00,42554.0,42554.0,42464.0,42464.0,0.008952
2019-12-20 18:00:00,42620.0,42747.0,42620.0,42747.0,0.041768
2019-12-20 19:00:00,42699.0,42699.0,42685.0,42685.0,0.069037
2019-12-20 20:00:00,42800.0,42800.0,42800.0,42800.0,0.002568
2019-12-20 21:00:00,42800.0,42800.0,42800.0,42800.0,0.000936
2019-12-20 22:00:00,42685.0,42685.0,42685.0,42685.0,0.002578
2019-12-20 23:00:00,42685.0,42685.0,42210.0,42210.0,0.553677
2019-12-21 00:00:00,42210.0,42210.0,42210.0,42210.0,0.0
2019-12-21 01:00:00,42490.0,42490.0,42490.0,42490.0,0.012814
2019-12-21 02:00:00,42490.0,42490.0,42490.0,42490.0,0.0
2019-12-21 03:00:00,42490.0,42490.0,42490.0,42490.0,0.003219
2019-12-21 04:00:00,42490.0,42490.0,42490.0,42490.0,0.0
2019-12-21 05:00:00,42490.0,42490.0,42490.0,42490.0,0.009582
2019-12-21 06:00:00,42488.0,42488.0,42488.0,42488.0,0.002329
2019-12-21 07:00:00,42488.0,42488.0,42488.0,42488.0,0.0
2019-12-21 08:00:00,42488.0,42488.0,42488.0,42488.0,0.0
2019-12-21 09:00:00,42367.0,42367.0,42203.0,42358.0,0.647763
2019-12-21 10:00:00,42350.0,42407.0,42241.0,42407.0,0.016646
2019-12-21 11:00:00,42400.0,42400.0,42400.0,42400.0,0.003079
2019-12-21 12:00:00,42400.0,42403.0,42400.0,42403.0,0.00528
2019-12-21 13:00:00,42444.0,42444.0,42227.0,42227.0,0.230744
2019-12-21 14:00:00,42227.0,42227.0,42227.0,42227.0,0.0
2019-12-21 15:00:00,42316.0,42316.0,42316.0,42316.0,0.006987
2019-12-21 16:00:00,42316.0,42316.0,42316.0,42316.0,0.0
2019-12-21 17:00:00,42378.0,42547.0,42378.0,42547.0,0.01996
2019-12-21 18:00:00,42370.0,42370.0,42370.0,42370.0,0.009282
2019-12-21 19:00:00,42539.0,42539.0,42539.0,42539.0,0.006981
2019-12-21 20:00:00,42539.0,42539.0,42539.0,42539.0,0.0
2019-12-21 21:00:00,42539.0,42539.0,42539.0,42539.0,0.000401
2019-12-21 22:00:00,42539.0,42539.0,42539.0,42539.0,0.0
2019-12-21 23:00:00,42539.0,42539.0,42539.0,42539.0,0.0
2019-12-22 00:00:00,42415.0,42462.0,42415.0,42462.0,0.020945
2019-12-22 01:00:00,42462.0,42462.0,42462.0,42462.0,0.0
2019-12-22 02:00:00,42400.0,42400.0,42400.0,42400.0,0.001
2019-12-22 03:00:00,42400.0,42400.0,42400.0,42400.0,0.0
2019-12-22 04:00:00,42400.0,42400.0,42400.0,42400.0,0.0
2019-12-22 05:00:00,42400.0,42400.0,42400.0,42400.0,0.0
2019-12-22 06:00:00,42400.0,42400.0,42400.0,42400.0,0.006684
2019-12-22 07:00:00,42400.0,42400.0,42400.0,42400.0,0.0
2019-12-22 08:00:00,42800.0,42800.0,42597.0,42597.0,0.016605
2019-12-22 09:00:00,42640.0,42640.0,42640.0,42640.0,0.006394
2019-12-22 10:00:00,42640.0,42640.0,42640.0,42640.0,0.0
2019-12-22 11:00:00,42640.0,42640.0,42640.0,42640.0,0.000351
2019-12-22 12:00:00,42543.0,42649.0,42543.0,42572.0,0.042844
2019-12-22 13:00:00,42544.0,42661.0,42544.0,42661.0,0.011665
2019-12-22 14:00:00,42661.0,42661.0,42656.0,42656.0,0.002791
2019-12-22 15:00:00,42540.0,43536.0,42528.0,43536.0,0.024113
2019-12-22 16:00:00,42982.0,43014.0,42982.0,43014.0,0.04605
2019-12-22 17:00:00,43311.0,43600.0,43291.0,43291.0,0.055542
2019-12-22 18:00:00,43937.0,44265.0,43000.0,44265.0,0.075735
2019-12-22 19:00:00,43998.0,44000.0,43862.0,43862.0,0.021114
2019-12-22 20:00:00,44242.0,44242.0,44077.0,44077.0,0.151852
2019-12-22 21:00:00,43990.0,43990.0,43838.0,43838.0,0.004959
2019-12-22 22:00:00,44080.0,44080.0,44080.0,44080.0,0.002358
2019-12-22 23:00:00,44650.0,44650.0,43746.0,44416.0,0.77334
2019-12-23 00:00:00,44579.0,45000.0,44529.0,44684.0,0.47575
2019-12-23 01:00:00,44853.0,45144.0,44838.0,44838.0,0.071631
2019-12-23 02:00:00,45236.0,45349.0,44991.0,45009.0,0.193411
2019-12-23 03:00:00,45221.0,45221.0,45221.0,45221.0,0.00445
2019-12-23 04:00:00,44942.0,45125.0,44942.0,45125.0,0.018978
2019-12-23 05:00:00,45003.0,45003.0,45003.0,45003.0,0.025629
2019-12-23 06:00:00,44757.0,44757.0,44402.0,44463.0,0.097747
2019-12-23 07:00:00,44412.0,44510.0,44389.0,44389.0,0.022138
2019-12-23 08:00:00,44724.0,44724.0,44724.0,44724.0,0.024473
2019-12-23 09:00:00,44635.0,44809.0,44474.0,44474.0,0.067527
2019-12-23 10:00:00,44595.0,44778.0,44595.0,44642.0,0.029547
2019-12-23 11:00:00,44600.0,44697.0,44600.0,44602.0,0.080738
2019-12-23 12:00:00,44994.0,44994.0,44994.0,44994.0,0.014963
2019-12-23 13:00:00,45020.0,45020.0,44817.0,44817.0,0.074449
2019-12-23 14:00:00,45020.0,45020.0,44958.0,44958.0,0.007906
2019-12-23 15:00:00,44995.0,45020.0,44995.0,45011.0,0.039278
2019-12-23 16:00:00,45178.0,45315.0,44637.0,44637.0,0.358181
2019-12-23 17:00:00,44642.0,44642.0,44088.0,44092.0,0.142616
2019-12-23 18:00:00,44138.0,44392.0,44138.0,44295.0,0.039641
2019-12-23 19:00:00,44295.0,44295.0,44295.0,44295.0,0.0
2019-12-23 20:00:00,44295.0,44295.0,44295.0,44295.0,0.0
2019-12-23 21:00:00,43000.0,43500.0,42581.0,43500.0,0.735697
2019-12-23 22:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-23 23:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-24 00:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-24 01:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-24 02:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-24 03:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-24 04:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-24 05:00:00,43500.0,43500.0,43500.0,43500.0,0.0
2019-12-24 06:00:00,43596.0,43596.0,43596.0,43596.0,0.003224
2019-12-24 07:00:00,43124.0,43342.0,43124.0,43342.0,0.07418
2019-12-24 08:00:00,43173.0,43483.0,43173.0,43483.0,0.114685
2019-12-24 09:00:00,43483.0,43483.0,43483.0,43483.0,0.0
2019-12-24 10:00:00,43483.0,43483.0,43483.0,43483.0,0.0
2019-12-24 11:00:00,43802.0,43802.0,43802.0,43802.0,0.03559
2019-12-24 12:00:00,43802.0,43842.0,43798.0,43842.0,0.040194
2019-12-24 13:00:00,43978.0,43978.0,43978.0,43978.0,0.022511
2019-12-24 14:00:00,44000.0,44000.0,44000.0,44000.0,1.136364
2019-12-24 15:00:00,43702.0,43702.0,43288.0,43288.0,0.027848
2019-12-24 16:00:00,43173.0,43346.0,43173.0,43346.0,0.053028
2019-12-24 17:00:00,43440.0,43440.0,43397.0,43397.0,0.345303
2019-12-24 18:00:00,42103.0,42839.0,42103.0,42803.0,0.039722
2019-12-24 19:00:00,42825.0,43031.0,42825.0,43031.0,0.053587
2019-12-24 20:00:00,42904.0,42904.0,42904.0,42904.0,0.025927
2019-12-24 21:00:00,43189.0,43189.0,42952.0,42952.0,0.116334
2019-12-24 22:00:00,43048.0,43048.0,43048.0,43048.0,0.02323
2019-12-24 23:00:00,43102.0,43147.0,43102.0,43126.0,0.079861
2019-12-25 00:00:00,43125.0,43125.0,43125.0,43125.0,0.01058
2019-12-25 01:00:00,43024.0,43024.0,42977.0,42977.0,0.024192
2019-12-25 02:00:00,43123.0,43123.0,43123.0,43123.0,0.027076
2019-12-25 03:00:00,42983.0,43008.0,42983.0,43008.0,0.036312
2019-12-25 04:00:00,43059.0,43059.0,43059.0,43059.0,0.010309
2019-12-25 05:00:00,43059.0,43059.0,43059.0,43059.0,0.0
2019-12-25 06:00:00,43063.0,43063.0,43016.0,43016.0,0.035898
2019-12-25 07:00:00,42834.0,43031.0,42793.0,43031.0,0.33845
2019-12-25 08:00:00,43110.0,43110.0,43110.0,43110.0,0.025485
2019-12-25 09:00:00,43159.0,43160.0,42985.0,43039.0,0.058522
2019-12-25 10:00:00,43038.0,43039.0,42988.0,43039.0,0.103858
2019-12-25 11:00:00,42853.0,42950.0,42853.0,42950.0,0.028982
2019-12-25 12:00:00,42994.0,43068.0,42994.0,43068.0,0.130206
2019-12-25 13:00:00,42826.0,42870.0,42818.0,42870.0,0.067041
2019-12-25 14:00:00,42740.0,42827.0,42727.0,42727.0,0.047186
2019-12-25 15:00:00,42742.0,42787.0,42742.0,42787.0,0.012588
2019-12-25 16:00:00,42830.0,42830.0,42830.0,42830.0,0.032632
2019-12-25 17:00:00,42449.0,42578.0,42166.0,42578.0,0.244273
2019-12-25 18:00:00,42562.0,42618.0,42379.0,42577.0,0.12838
2019-12-25 19:00:00,42621.0,42990.0,42621.0,42986.0,0.020675
2019-12-25 20:00:00,42986.0,42986.0,42986.0,42986.0,0.0
2019-12-25 21:00:00,42986.0,42986.0,42986.0,42986.0,0.0
2019-12-25 22:00:00,42986.0,42986.0,42986.0,42986.0,0.0
2019-12-25 23:00:00,42635.0,42635.0,42635.0,42635.0,0.007519
2019-12-26 00:00:00,42635.0,42777.0,42635.0,42777.0,0.01633
2019-12-26 01:00:00,42777.0,42777.0,42777.0,42777.0,0.0
2019-12-26 02:00:00,42777.0,42777.0,42777.0,42777.0,0.0
2019-12-26 03:00:00,42545.0,42545.0,42545.0,42545.0,0.000276
2019-12-26 04:00:00,42545.0,42545.0,42545.0,42545.0,0.0
2019-12-26 05:00:00,42545.0,42545.0,42545.0,42545.0,0.0
2019-12-26 06:00:00,42545.0,42545.0,42545.0,42545.0,0.0
2019-12-26 07:00:00,42545.0,42545.0,42545.0,42545.0,0.0
2019-12-26 08:00:00,42545.0,42545.0,42545.0,42545.0,0.0
2019-12-26 09:00:00,42727.0,42727.0,42680.0,42680.0,0.012
2019-12-26 10:00:00,42680.0,42680.0,42680.0,42680.0,0.0
2019-12-26 11:00:00,42727.0,42809.0,42727.0,42809.0,0.034146
2019-12-26 12:00:00,42809.0,42809.0,42809.0,42809.0,0.0
2019-12-26 13:00:00,42782.0,42782.0,42782.0,42782.0,0.013884
2019-12-26 14:00:00,42685.0,42685.0,42685.0,42685.0,0.010665
2019-12-26 15:00:00,42685.0,42685.0,42685.0,42685.0,0.0
2019-12-26 16:00:00,42992.0,43206.0,42992.0,43206.0,0.012208
2019-12-26 17:00:00,43206.0,43206.0,43206.0,43206.0,0.0
2019-12-26 18:00:00,43587.0,43904.0,43428.0,43428.0,0.101436
2019-12-26 19:00:00,43764.0,44314.0,42638.0,42638.0,0.101854
2019-12-26 20:00:00,42974.0,43053.0,42974.0,43053.0,0.004228
2019-12-26 21:00:00,43053.0,43053.0,43053.0,43053.0,0.0
2019-12-26 22:00:00,42697.0,42697.0,42697.0,42697.0,0.002744
2019-12-26 23:00:00,42697.0,42697.0,42697.0,42697.0,0.0
2019-12-27 00:00:00,42697.0,42697.0,42697.0,42697.0,0.0
2019-12-27 01:00:00,42697.0,42748.0,42576.0,42748.0,0.010826
2019-12-27 02:00:00,42748.0,42748.0,42748.0,42748.0,0.0
2019-12-27 03:00:00,42748.0,42748.0,42748.0,42748.0,0.0
2019-12-27 04:00:00,42748.0,42748.0,42748.0,42748.0,0.0
2019-12-27 05:00:00,42748.0,42748.0,42748.0,42748.0,0.0
2019-12-27 06:00:00,42748.0,42748.0,42748.0,42748.0,0.0
2019-12-27 07:00:00,42748.0,42748.0,42748.0,42748.0,0.0
2019-12-27 08:00:00,42635.0,42635.0,42635.0,42635.0,0.009113
2019-12-27 09:00:00,42635.0,42635.0,42635.0,42635.0,0.0
2019-12-27 10:00:00,42550.0,42550.0,42550.0,42550.0,0.027939
2019-12-27 11:00:00,41858.0,41858.0,41200.0,41200.0,0.128
2019-12-27 12:00:00,42143.0,42673.0,42143.0,42673.0,0.025436
2019-12-27 13:00:00,42673.0,42673.0,42673.0,42673.0,0.0
2019-12-27 14:00:00,42673.0,42673.0,42673.0,42673.0,0.0
2019-12-27 15:00:00,42976.0,42998.0,42802.0,42802.0,0.106279
2019-12-27 16:00:00,43049.0,43089.0,43049.0,43089.0,0.010649
2019-12-27 17:00:00,43089.0,43089.0,43089.0,43089.0,0.0
2019-12-27 18:00:00,42865.0,42966.0,42865.0,42964.0,0.00566
2019-12-27 19:00:00,42964.0,42964.0,42964.0,42964.0,0.0
2019-12-27 20:00:00,42814.0,42814.0,42814.0,42814.0,0.02022
2019-12-27 21:00:00,42814.0,42814.0,42814.0,42814.0,0.0
2019-12-27 22:00:00,42814.0,42814.0,42814.0,42814.0,0.0
2019-12-27 23:00:00,42945.0,42945.0,42945.0,42945.0,0.000787
2019-12-28 00:00:00,43074.0,43148.0,43074.0,43148.0,0.01722
2019-12-28 01:00:00,43297.0,43297.0,43196.0,43196.0,0.100113
2019-12-28 02:00:00,43196.0,43196.0,43196.0,43196.0,0.0
2019-12-28 03:00:00,43196.0,43196.0,43196.0,43196.0,0.0
2019-12-28 04:00:00,43196.0,43196.0,43196.0,43196.0,0.0
2019-12-28 05:00:00,43395.0,43395.0,43395.0,43395.0,0.014812
2019-12-28 06:00:00,43395.0,43395.0,43395.0,43395.0,0.0
2019-12-28 07:00:00,43491.0,43491.0,43491.0,43491.0,0.003084
2019-12-28 08:00:00,43311.0,43311.0,43226.0,43226.0,0.032211
2019-12-28 09:00:00,43226.0,43226.0,43226.0,43226.0,0.0
2019-12-28 10:00:00,43226.0,43226.0,43226.0,43226.0,0.0
2019-12-28 11:00:00,43226.0,43226.0,43226.0,43226.0,0.0
2019-12-28 12:00:00,43226.0,43226.0,43226.0,43226.0,0.0
